# Design_ID: 1
# Initial_Mass_kg: 26848725.187012
# Final_Mass_Objective_kg: 26626814.030093
# Initial_Surge_Margin: 0.435388
# Final_Surge_Margin: 0.334076
# Initial_Pitch_Margin: 0.645022
# Final_Pitch_Margin: 0.304140
Point_Index,Z_Elevation_m,Init_Diameter_m,Final_Diameter_m,Init_Cum_Mass_tonnes,Final_Cum_Mass_tonnes
0,-100.8025,20.0000,25.0000,24284.8725,24356.2765
1,-89.2223,20.0000,24.9991,24569.7450,24729.1306
2,-77.6420,20.0000,22.7445,24854.6176,25095.3582
3,-66.0618,20.0000,18.7453,25139.4901,25400.8853
4,-54.4815,20.0000,16.3423,25424.3626,25646.5343
5,-42.9013,20.0000,16.3403,25709.2351,25879.1588
6,-31.3210,20.0000,16.3403,25994.1076,26120.7401
7,-19.7408,20.0000,14.4510,26278.9801,26350.6969
8,-8.1605,20.0000,10.4510,26563.8527,26524.9906
9,3.4197,20.0000,6.4510,26848.7252,26626.8140
10,15.0000,20.0000,6.4510,26848.7252,26626.8140
