# Design_ID: 2
# Initial_Mass_kg: 26839598.544773
# Final_Mass_Objective_kg: 26427461.191042
# Initial_Surge_Margin: 0.429491
# Final_Surge_Margin: 0.244166
# Initial_Pitch_Margin: 0.625500
# Final_Pitch_Margin: 0.000376
Point_Index,Z_Elevation_m,Init_Diameter_m,Final_Diameter_m,Init_Cum_Mass_tonnes,Final_Cum_Mass_tonnes
0,-100.8025,21.0000,24.2323,24304.2321,24345.4204
1,-89.2223,20.2000,24.2172,24601.9237,24690.6355
2,-77.6420,19.4000,24.2156,24887.7973,25040.9765
3,-66.0618,18.6000,23.5004,25161.8529,25407.6040
4,-54.4815,17.8000,19.5004,25419.7993,25733.4327
5,-42.9013,17.8000,15.5004,25677.7457,25992.2795
6,-31.3210,18.6000,11.5004,25951.8012,26184.1444
7,-19.7408,19.4000,7.5004,26237.6748,26308.4498
8,-8.1605,20.2000,4.0000,26535.3664,26371.0579
9,3.4197,21.0000,4.0000,26839.5985,26427.4612
10,15.0000,21.0000,4.0000,26839.5985,26427.4612
